mean	sd	2.5%	97.5%	Rhat	n.eff
LOR.ref[1]	0.038	0.0747	-0.1046	0.1893	1.001	27000
LOR.ref[2]	0.1659	0.0863	-0.0033	0.3354	1.0011	15000
LOR.ref[3]	0.0563	0.0952	-0.1304	0.2442	1.0019	2100
LOR.ref[4]	0.2927	0.0917	0.1117	0.4725	1.0017	2800
LOR.ref[6]	-0.0337	0.1305	-0.2921	0.2235	1.001	27000
LOR.ref[7]	0.1798	0.175	-0.1608	0.5255	1.0012	7900
LOR.ref[8]	0.282	0.0751	0.1365	0.4293	1.0012	8100
LOR.ref[9]	-0.324	0.1562	-0.6307	-0.017	1.0017	2800
LOR.ref[10]	0.0231	0.0976	-0.1675	0.2168	1.001	27000
LOR.ref[11]	0.2564	0.1074	0.0463	0.4687	1.001	27000
LOR.ref[12]	0.0418	0.1211	-0.1957	0.2806	1.0015	3700
LOR.ref[1]	0.3198	0.4164	-0.5005	1.1382	1.0011	13000
LOR.ref[2]	0.2608	0.3884	-0.5047	1.0259	1.0011	13000
LOR.ref[4]	0.0632	0.3149	-0.5525	0.6842	1.001	27000
LOR.ref[5]	0.0207	0.1394	-0.2462	0.3066	1.0012	9600
LOR.ref[1]	0.8841	0.4847	-0.0829	1.809	1.0013	6100
LOR.ref[2]	0.633	0.4519	-0.2564	1.5121	1.0014	4100
LOR.ref[3]	0.2449	0.2445	-0.2334	0.72	1.0017	2700
LOR.ref[4]	0.5334	0.2473	0.04	1.0134	1.0011	15000
LOR.ref[5]	0.1509	0.2267	-0.29	0.6021	1.0011	15000
LOR.ref[6]	0.5081	0.1309	0.2597	0.7674	1.0011	12000
LOR.ref[7]	0.5817	0.1278	0.3386	0.8467	1.001	27000
LOR.ref[1]	0.2692	0.1585	-0.0408	0.5795	1.0012	8200
LOR.ref[2]	0.4821	0.4218	-0.3341	1.3208	1.001	27000
LOR.ref[1]	1.0842	0.8316	-0.5764	2.7376	1.0011	12000
LOR.ref[2]	1.7046	0.57	0.5749	2.8335	1.0011	12000
LOR.ref[3]	1.4639	0.5185	0.3927	2.4831	1.0011	15000
LOR.ref[4]	1.2067	0.5348	0.1218	2.2931	1.001	27000
LOR.ref[5]	0.6977	0.5126	-0.3504	1.7211	1.001	27000
LOR.ref[1]	1.0703	0.2695	0.5425	1.6078	1.002	27000
LOR.ref[2]	0.7132	0.4465	-0.1563	1.5967	1.0012	19000
