mean	sd	2.5%	97.5%
LOR.ref[1]	0.036	0.0743	-0.1075	0.1832
LOR.ref[2]	0.1593	0.0871	-0.0107	0.329
LOR.ref[3]	0.0546	0.0961	-0.1306	0.2461
LOR.ref[4]	0.2888	0.0924	0.1078	0.4712
LOR.ref[6]	-0.027	0.1288	-0.282	0.2243
LOR.ref[7]	0.176	0.1729	-0.1607	0.5155
LOR.ref[8]	0.2799	0.0762	0.1328	0.4314
LOR.ref[9]	-0.324	0.1571	-0.632	-0.0143
LOR.ref[10]	0.0188	0.098	-0.171	0.2126
LOR.ref[11]	0.2547	0.1077	0.0453	0.4674
LOR.ref[12]	0.0394	0.1219	-0.2004	0.2781
LOR.ref[1]	0.3171	0.411	-0.4959	1.1224
LOR.ref[2]	0.257	0.3819	-0.4931	1.0093
LOR.ref[4]	0.0653	0.3195	-0.5653	0.6923
LOR.ref[5]	0.0182	0.1409	-0.2484	0.307
LOR.ref[1]	0.8958	0.469	-0.0279	1.8154
LOR.ref[2]	0.638	0.6504	-0.6217	1.9204
LOR.ref[3]	0.1776	0.232	-0.2719	0.6376
LOR.ref[4]	0.6612	0.2975	0.0741	1.2401
LOR.ref[5]	0.107	0.2532	-0.3817	0.6068
LOR.ref[6]	0.4944	0.1386	0.2241	0.7686
LOR.ref[7]	0.5747	0.1334	0.3228	0.8439
LOR.ref[1]	0.2702	0.1568	-0.0431	0.5803
LOR.ref[2]	0.4818	0.4153	-0.3376	1.2951
LOR.ref[1]	1.0727	0.8392	-0.5996	2.7364
LOR.ref[2]	1.6685	0.5775	0.5098	2.8157
LOR.ref[3]	1.4561	0.5231	0.399	2.4884
LOR.ref[4]	1.1929	0.5433	0.0998	2.2892
LOR.ref[5]	0.6992	0.5136	-0.3353	1.7312
LOR.ref[1]	1.0748	0.2602	0.5558	1.6066
LOR.ref[2]	0.706	0.4367	-0.1799	1.567
LOR.ref[4]	-0.0922	0.4451	-0.9891	0.7849
LOR.ref[5]	-0.8212	0.4872	-1.7804	0.1475
LOR.ref[6]	1.3631	0.214	0.9391	1.7937
LOR.ref[7]	-0.4843	0.3658	-1.1948	0.2515
LOR.ref[1]	0.9294	0.235	0.4715	1.3928
LOR.ref[2]	0.7995	0.2258	0.3552	1.2403
LOR.ref[3]	0.9856	0.2605	0.4726	1.4939
LOR.ref[4]	1.0182	0.1986	0.6317	1.4128
LOR.ref[5]	1.3303	0.1674	1.0016	1.6646
LOR.ref[6]	1.5277	0.3605	0.8384	2.2544
LOR.ref[7]	1.5594	0.2168	1.1415	1.9878
LOR.ref[8]	1.4957	0.339	0.8201	2.1517
LOR.ref[9]	1.6993	0.1961	1.3175	2.0947
LOR.ref[10]	1.2443	0.2692	0.713	1.7705
LOR.ref[2]	0.8658	0.1997	0.4787	1.2599
LOR.ref[3]	0.531	0.3166	-0.0959	1.1533
LOR.ref[1]	0.514	0.2002	0.1249	0.9193
LOR.ref[2]	0.5334	0.2797	-0.0208	1.0965
LOR.ref[3]	2.4253	0.2871	1.8648	2.9842
LOR.ref[4]	2.2165	0.5233	1.1779	3.2545
LOR.ref[1]	0.9735	0.4436	0.0958	1.8423
LOR.ref[2]	2.2974	0.5771	1.2218	3.4972
LOR.ref[3]	1.2876	0.7842	-0.267	2.8305
LOR.ref[4]	1.7278	0.7289	0.2908	3.1535
LOR.ref[5]	1.1693	0.7015	-0.215	2.5415
LOR.ref[6]	1.1268	0.7432	-0.3267	2.5842
LOR.ref[7]	1.0819	0.6782	-0.2405	2.4177
LOR.ref[1]	0.0635	0.6994	-1.3668	1.471
LOR.ref[2]	0.4124	0.4383	-0.4898	1.285
LOR.ref[3]	0.5373	1.0473	-1.5861	2.6685
LOR.ref[4]	1.0161	1.4045	-1.7158	3.8082
LOR.ref[5]	0.2659	0.7636	-1.3008	1.8165
LOR.ref[6]	0.6701	0.697	-0.5654	2.1772
LOR.ref[7]	1.9572	0.9627	0.0446	3.8787
LOR.ref[8]	1.1102	0.6322	-0.1708	2.3952
LOR.ref[9]	0.3224	0.4993	-0.6994	1.3326
LOR.ref[1]	0.81	0.5435	-0.267	1.8904
LOR.ref[2]	0.5537	0.2769	0.0177	1.12
LOR.ref[3]	1.0068	0.2959	0.4201	1.5909
LOR.ref[4]	1.0443	0.3014	0.4611	1.6495
LOR.ref[5]	0.592	0.5394	-0.465	1.6573
LOR.ref[6]	1.2743	0.3069	0.686	1.9029
LOR.ref[1]	1.1711	0.2687	0.6502	1.6987
LOR.ref[2]	0.9395	0.248	0.4536	1.4431
LOR.ref[3]	0.8691	0.2343	0.4131	1.3365
LOR.ref[4]	1.211	0.2685	0.6816	1.742
LOR.ref[1]	0.4081	0.5095	-0.583	1.4221
LOR.ref[2]	0.4463	0.5107	-0.5112	1.5042
LOR.ref[3]	-0.5528	0.6208	-1.745	0.7092
LOR.ref[5]	-0.5916	0.4186	-1.4169	0.2429
LOR.ref[1]	1.9847	0.7527	0.5218	3.4382
LOR.ref[3]	0.2574	0.3487	-0.4268	0.9552
LOR.ref[4]	1.8178	0.665	0.5296	3.1014
LOR.ref[5]	1.4688	0.6297	0.2662	2.7027
LOR.ref[1]	1.9768	0.8176	0.3307	3.6071
LOR.ref[2]	1.6505	0.8088	-0.0151	3.27
LOR.ref[3]	0.7456	0.4915	-0.316	1.6572
LOR.ref[1]	0.2417	0.2444	-0.2588	0.7369
LOR.ref[2]	-0.5765	0.1776	-0.9344	-0.2314
LOR.ref[3]	-0.435	0.2656	-0.9704	0.0881
LOR.ref[4]	0.0158	0.3991	-0.7729	0.8015
LOR.ref[5]	0.3835	0.5021	-0.6015	1.3748
LOR.ref[6]	0.2316	0.4351	-0.6222	1.0923
LOR.ref[8]	-0.9221	0.2472	-1.4104	-0.4429
LOR.ref[2]	0.7744	0.3025	0.1878	1.3684
LOR.ref[3]	0.9387	0.2134	0.5177	1.3547
LOR.ref[4]	1.1112	0.3143	0.5003	1.7439
LOR.ref[5]	1.8793	0.5478	0.8168	2.9474
LOR.ref[6]	0.7839	0.5909	-0.3615	1.9442
LOR.ref[7]	1.9873	0.3574	1.2894	2.6891
LOR.ref[8]	3.1396	0.9207	1.3235	4.9169
LOR.ref[9]	0.4416	0.7705	-1.0377	1.9407
LOR.ref[10]	1.6214	0.2452	1.1424	2.1066
LOR.ref[11]	1.5454	0.4459	0.6795	2.4362
LOR.ref[12]	1.4258	0.5343	0.3823	2.4771
LOR.ref[13]	1.2992	0.4124	0.4923	2.1143
LOR.ref[14]	1.33	1.2026	-1.0299	3.6762
LOR.ref[15]	2.0014	0.8116	0.3727	3.5952
LOR.ref[16]	1.2684	0.6943	-0.0883	2.6439
LOR.ref[17]	1.4915	0.6406	0.2491	2.7603
LOR.ref[18]	1.3573	0.2375	0.8923	1.827
LOR.ref[19]	1.8554	0.8392	0.2238	3.5329
LOR.ref[20]	1.2977	0.7096	-0.0938	2.6755
LOR.ref[21]	0.3076	0.9598	-1.5841	2.1712
LOR.ref[22]	0.3043	0.9466	-1.5566	2.1327
LOR.ref[1]	1.2794	0.2087	0.8814	1.7091
LOR.ref[2]	2.8642	0.5988	1.7693	4.1289
LOR.ref[3]	1.3225	0.3895	0.5467	2.0826
LOR.ref[1]	-0.11	0.2615	-0.6071	0.4366
LOR.ref[2]	-0.3879	0.269	-0.9126	0.1445
LOR.ref[3]	-0.5068	0.4476	-1.3951	0.3765
LOR.ref[4]	0.0466	0.3519	-0.6396	0.7475
LOR.ref[6]	0.0467	0.2865	-0.5155	0.6138
LOR.ref[7]	-0.5446	0.3728	-1.2954	0.1778
LOR.ref[8]	-0.4241	0.2961	-0.9995	0.1634
LOR.ref[9]	0.1377	0.3606	-0.564	0.8556
LOR.ref[10]	-0.1326	0.1997	-0.5262	0.2641
LOR.ref[1]	0.0932	0.4614	-0.816	1.0248
LOR.ref[3]	0.6408	0.6946	-0.7474	2.022
LOR.ref[4]	-0.2629	0.5149	-1.3115	0.7778
LOR.ref[5]	0.9584	0.4512	0.0559	1.8485
LOR.ref[1]	-0.4153	0.666	-1.7459	0.883
LOR.ref[2]	1.1202	1.8041	-2.4176	4.5912
LOR.ref[3]	-0.3419	0.7211	-1.8194	1.0529
LOR.ref[5]	0.1893	1.0556	-1.9832	2.1722
LOR.ref[6]	-0.2172	0.885	-2.0373	1.469
LOR.ref[7]	-2.13	0.7771	-3.7444	-0.6951
LOR.ref[1]	0.1863	0.2799	-0.3573	0.7338
LOR.ref[2]	-0.0936	0.2434	-0.5612	0.3835
LOR.ref[3]	0.1195	0.2483	-0.3688	0.6043
LOR.ref[4]	0.1103	0.2131	-0.309	0.528
LOR.ref[1]	0.4596	0.24	-2e-04	0.9437
LOR.ref[2]	1.3782	0.504	0.3953	2.3639
LOR.ref[3]	2.8146	0.8267	1.2057	4.4378
LOR.ref[4]	1.2367	1.0415	-0.8122	3.2829
LOR.ref[5]	0.1591	0.4275	-0.6665	1.0237
LOR.ref[6]	0.9916	0.4428	0.1403	1.887
LOR.ref[7]	2.2817	0.8245	0.679	3.92
LOR.ref[1]	0.0964	0.1274	-0.153	0.3456
LOR.ref[2]	-0.5595	0.2845	-1.116	0.0014
LOR.ref[3]	-0.0731	0.2113	-0.4958	0.3406
LOR.ref[4]	0.8592	0.7037	-0.5026	2.2292
LOR.ref[5]	0.2036	0.2759	-0.3401	0.7442
LOR.ref[6]	0.3061	0.1761	-0.0435	0.6518
LOR.ref[8]	0.1458	0.1071	-0.0659	0.3579
LOR.ref[9]	-0.6645	0.1205	-0.9055	-0.4306
LOR.ref[2]	0.6162	0.3588	-0.0766	1.3446
LOR.ref[3]	0.568	0.4982	-0.4201	1.5324
LOR.ref[4]	0.7199	0.4409	-0.1273	1.6045
LOR.ref[1]	1.8377	0.5356	0.7777	2.9154
LOR.ref[2]	0.1406	0.5299	-0.9282	1.1863
LOR.ref[3]	0.7897	0.9128	-1.0048	2.587
LOR.ref[4]	-0.0175	0.8668	-1.7068	1.7332
LOR.ref[5]	0.5794	0.6025	-0.633	1.7966
LOR.ref[6]	0.5266	0.4348	-0.3388	1.4179
LOR.ref[7]	0.8387	0.4291	-0.0184	1.6901
LOR.ref[8]	0.6199	0.339	-0.0087	1.3422
LOR.ref[9]	0.4242	0.6128	-0.6954	1.7124
LOR.ref[10]	0.4863	1.048	-1.5849	2.5478
LOR.ref[11]	1.9612	0.8524	0.2969	3.651
LOR.ref[12]	1.0785	0.6115	-0.1555	2.3009
LOR.ref[13]	0.1257	0.6017	-1.0883	1.3406
LOR.ref[14]	0.27	0.3634	-0.4703	0.9869
LOR.ref[15]	0.5187	0.4166	-0.3194	1.3439
LOR.ref[1]	0.8625	0.2437	0.3967	1.3552
LOR.ref[2]	0.314	0.2061	-0.1006	0.7142
LOR.ref[3]	2.0417	0.5284	1.0054	3.0817
LOR.ref[4]	0.6604	0.2179	0.2426	1.1021
LOR.ref[5]	0.612	0.2203	0.1646	1.0422
LOR.ref[1]	0.1883	0.3042	-0.3773	0.8265
LOR.ref[2]	0.3685	0.3603	-0.3387	1.0811
LOR.ref[3]	0.3785	0.4376	-0.4797	1.2347
LOR.ref[4]	0.0285	0.3026	-0.5917	0.6105
LOR.ref[6]	0.6544	0.5491	-0.4344	1.7297
