50%	sd	Rhat	n.eff
1	0.0149	0.0111	1.0023	1500
2	0.0279	0.0456	1.0012	6800
3	0.0245	0.0324	1.0011	11000
4	0.0347	0.0926	1.001	27000
5	0.3298	0.4275	1.001	27000
6	0.1064	0.2832	1.0016	4500
7	0.0685	0.0566	1.0012	7000
8	0.0276	0.0839	1.001	27000
9	0.0687	0.1144	1.0016	3000
10	0.104	0.3319	1.0011	11000
11	0.6427	0.763	1.0012	8400
12	0.1013	0.1277	1.0011	10000
13	0.0623	0.0941	1.0011	12000
14	0.2041	0.4078	1.0013	5000
15	0.0684	0.3715	1.001	27000
16	0.2948	0.6833	1.001	27000
17	0.0557	0.0838	1.001	21000
18	0.0195	0.0511	1.0023	1500
19	0.2822	0.2606	1.002	1900
20	0.0334	0.0694	1.001	27000
21	0.1051	0.4564	1.0011	15000
22	0.9219	0.838	1.001	21000
23	0.0162	0.0906	1.0013	5100
24	0.0675	0.1712	1.0015	3800
25	0.0487	0.036	1.0011	11000
26	0.062	0.2563	1.0012	9300
27	0.4053	0.3205	1.001	27000
28	0.0534	0.0824	1.0012	8100
29	0.0401	0.1761	1.0011	12000
