50%	sd
1	0.0142	0.0107
2	0.0279	0.0507
3	0.0245	0.0324
4	0.0345	0.0839
5	0.3299	0.4911
6	0.1078	0.14
7	0.056	0.0496
8	0.0277	0.094
9	0.0693	0.1057
10	0.0948	0.3756
11	0.3753	0.5002
12	0.0943	0.1317
13	0.0585	0.0993
14	0.1494	0.3303
15	0.0692	0.4475
16	0.3029	0.6731
17	0.0529	0.0786
18	0.0132	0.0365
19	0.1879	0.2135
20	0.0346	0.0676
21	0.1025	0.4059
22	0.7095	0.5901
23	0.0164	0.0949
24	0.0594	0.1267
25	0.0437	0.0351
26	0.0583	0.2718
27	0.2655	0.2415
28	0.0526	0.0781
29	0.0415	0.1529
