mean	sd	2.5%	97.5%	Rhat	n.eff
theta[1,2]	-0.0866	0.1727	-0.4323	0.2471	1.0011	12000
theta[2,2]	0.2469	0.2199	-0.175	0.6879	1.0011	13000
theta[3,2]	-0.0164	0.1616	-0.3306	0.3077	1.0011	14000
theta[4,2]	0.3717	0.1858	0.0205	0.7539	1.001	27000
theta[5,2]	-0.1174	0.188	-0.507	0.2343	1.001	27000
theta[6,2]	-0.0597	0.1776	-0.4159	0.2913	1.001	27000
theta[7,2]	-0.1963	0.1778	-0.5484	0.1516	1.0012	9100
theta[8,2]	-0.0277	0.172	-0.3631	0.3158	1.0011	18000
theta[9,2]	-0.1471	0.182	-0.4991	0.2246	1.0013	5600
theta[10,2]	0.2281	0.1515	-0.0729	0.5218	1.0013	5300
theta[11,2]	-0.0902	0.169	-0.4269	0.2384	1.0015	3700
theta[12,2]	0.1994	0.18	-0.1445	0.557	1.0012	8400
theta[13,2]	0.1764	0.208	-0.2331	0.585	1.0012	8600
theta[14,2]	0.0917	0.1775	-0.2627	0.4334	1.0011	12000
theta[15,2]	0.1517	0.1667	-0.19	0.471	1.0011	19000
theta[16,2]	0.2747	0.1664	-0.0485	0.6151	1.001	27000
theta[17,2]	0.2133	0.1469	-0.0786	0.501	1.001	27000
theta[18,2]	0.0315	0.1601	-0.2704	0.3616	1.001	27000
theta[19,2]	0.0759	0.1437	-0.2107	0.3533	1.0009	27000
theta[20,2]	0.2313	0.1447	-0.052	0.5216	1.001	27000
theta[21,2]	0.0195	0.1512	-0.27	0.3304	1.0011	12000
theta[22,2]	0.2314	0.1435	-0.0528	0.5121	1.0012	7200
theta[23,2]	0.1919	0.1541	-0.1215	0.4909	1.0011	14000
theta[24,2]	0.3149	0.159	0.0198	0.6465	1.001	27000
theta[25,2]	0.2477	0.1675	-0.0856	0.5854	1.001	23000
theta[26,2]	-0.2969	0.1694	-0.6247	0.0408	1.0016	2900
theta[27,2]	-0.2921	0.1942	-0.6646	0.0987	1.0018	2300
theta[28,2]	-0.3883	0.2015	-0.7863	0.0064	1.0012	9500
theta[29,2]	-0.3682	0.1677	-0.7033	-0.0428	1.002	1800
theta[30,2]	-0.4794	0.212	-0.8972	-0.0575	1.0013	4900
theta[31,2]	-0.3839	0.1895	-0.7576	-0.0134	1.0011	18000
theta[32,2]	-0.3379	0.2008	-0.7407	0.0552	1.0012	7800
theta[33,2]	-0.0873	0.1477	-0.367	0.215	1.001	27000
