mean	sd	2.5%	97.5%
delta[1,2]	-0.077	0.1694	-0.4173	0.2503
delta[2,2]	0.2361	0.2183	-0.1839	0.6733
delta[3,2]	-0.0093	0.1604	-0.3226	0.3103
delta[4,2]	0.3611	0.1844	0.0137	0.7474
delta[5,2]	-0.0992	0.1846	-0.4833	0.2518
delta[6,2]	-0.0524	0.1762	-0.4059	0.2913
delta[7,2]	-0.1865	0.1758	-0.5365	0.1615
delta[8,2]	-0.0225	0.1689	-0.3534	0.3134
delta[9,2]	-0.1392	0.1807	-0.4871	0.2214
delta[10,2]	0.2223	0.1491	-0.0765	0.5112
delta[11,2]	-0.0844	0.1665	-0.4143	0.2427
delta[12,2]	0.1946	0.1781	-0.151	0.5435
delta[13,2]	0.1703	0.2052	-0.2299	0.5716
delta[14,2]	0.0926	0.1752	-0.2524	0.4324
delta[15,2]	0.1528	0.1662	-0.1887	0.4701
delta[16,2]	0.2713	0.1653	-0.0451	0.6098
delta[17,2]	0.2137	0.1464	-0.0751	0.5009
delta[18,2]	0.0294	0.1573	-0.2697	0.3529
delta[19,2]	0.0798	0.1431	-0.2037	0.3571
delta[20,2]	0.233	0.1431	-0.0447	0.5193
delta[21,2]	0.0169	0.1506	-0.2739	0.3214
delta[22,2]	0.2288	0.1422	-0.056	0.508
delta[23,2]	0.1956	0.1525	-0.1175	0.4871
delta[24,2]	0.3095	0.1587	0.0125	0.6403
delta[25,2]	0.2456	0.1641	-0.0819	0.5737
delta[26,2]	-0.299	0.1684	-0.6263	0.0356
delta[27,2]	-0.2951	0.195	-0.6723	0.1006
delta[28,2]	-0.3867	0.2018	-0.7895	0.0057
delta[29,2]	-0.3658	0.1669	-0.6974	-0.0425
delta[30,2]	-0.4742	0.2112	-0.888	-0.0544
delta[31,2]	-0.3844	0.1932	-0.7678	-0.0048
delta[32,2]	-0.3358	0.2006	-0.7334	0.0625
delta[33,2]	-0.0875	0.148	-0.3691	0.22
delta[34,2]	0.1568	0.1519	-0.1323	0.4707
delta[35,2]	-0.1806	0.138	-0.4619	0.0882
delta[36,2]	-0.1509	0.1351	-0.4195	0.1198
delta[37,2]	0.1592	0.156	-0.1351	0.4881
delta[38,2]	-0.1227	0.1438	-0.4003	0.1652
delta[39,2]	-0.1313	0.1431	-0.4102	0.1534
delta[40,2]	0.1912	0.1583	-0.1044	0.5314
delta[41,2]	-0.1692	0.1479	-0.4724	0.1199
delta[42,2]	-0.1498	0.1497	-0.4475	0.1493
delta[43,2]	-0.0424	0.1432	-0.3445	0.2333
delta[44,2]	0.1157	0.1211	-0.1023	0.3708
delta[45,2]	0.0292	0.114	-0.1879	0.2649
delta[46,2]	-0.0165	0.1314	-0.2787	0.2469
delta[47,2]	-0.0542	0.1414	-0.3485	0.2133
delta[48,2]	-0.0527	0.1635	-0.3947	0.2595
delta[49,2]	0.1277	0.1295	-0.1301	0.3823
delta[50,2]	0.0511	0.1485	-0.2375	0.3508
delta[51,2]	-0.0426	0.152	-0.3557	0.2471
delta[52,2]	0.1211	0.1378	-0.1386	0.4038
delta[53,2]	-0.0926	0.1584	-0.4284	0.1962
delta[54,2]	-0.0207	0.1305	-0.2797	0.2392
delta[55,2]	-0.0361	0.1356	-0.3125	0.2281
delta[56,2]	-0.0444	0.1403	-0.3312	0.2252
delta[57,2]	-0.0514	0.1351	-0.3312	0.2068
delta[58,2]	0.1707	0.141	-0.1238	0.4333
delta[59,2]	-0.1021	0.1496	-0.4291	0.1646
delta[60,2]	0.046	0.1437	-0.2283	0.3335
delta[61,2]	0.0457	0.164	-0.2733	0.3748
delta[62,2]	0.2023	0.1512	-0.1019	0.4938
delta[63,2]	-0.0973	0.1331	-0.3576	0.1677
delta[64,2]	-0.0479	0.1558	-0.3622	0.2583
delta[65,2]	-0.0846	0.1485	-0.3942	0.189
delta[66,2]	0.2263	0.1304	-0.0327	0.4842
delta[67,2]	0.2852	0.1344	0.0324	0.5609
delta[68,2]	0.0122	0.1411	-0.2643	0.2959
delta[69,2]	0.2545	0.1334	-0.005	0.521
delta[70,2]	0.3119	0.1445	0.0448	0.6183
delta[71,2]	-0.1452	0.1347	-0.3995	0.1312
delta[72,2]	-0.293	0.1454	-0.5875	-0.0159
delta[73,2]	-0.2672	0.1451	-0.5609	0.0124
delta[74,2]	-0.2591	0.1403	-0.5336	0.0245
delta[75,2]	0.1317	0.1451	-0.1534	0.4255
delta[76,2]	0.0696	0.1406	-0.2191	0.3389
delta[77,2]	-0.3047	0.1293	-0.5638	-0.0542
delta[78,2]	0.2878	0.1431	0.0093	0.5827
delta[79,2]	-0.0617	0.1417	-0.3502	0.2152
delta[80,2]	-0.018	0.1385	-0.2861	0.2637
delta[81,2]	0.3186	0.1443	0.0472	0.626
delta[82,2]	0.0077	0.1371	-0.2661	0.2786
delta[83,2]	0.289	0.1298	0.0366	0.5541
delta[84,2]	0.2907	0.1373	0.0225	0.5714
delta[85,2]	0.2638	0.1443	-0.0287	0.5504
delta[86,2]	0.3128	0.1232	0.0764	0.5665
delta[87,2]	0.0348	0.1482	-0.2528	0.3391
delta[88,2]	0.2819	0.1305	0.0239	0.5459
delta[89,2]	-0.217	0.1382	-0.5043	0.0431
delta[90,2]	0.2693	0.129	0.0138	0.5274
delta[91,2]	0.2595	0.1297	-0.0039	0.5135
delta[92,2]	0.2733	0.1398	-0.0091	0.554
delta[93,2]	0.3237	0.135	0.069	0.6033
delta[94,2]	0.286	0.1306	0.0322	0.5528
delta[95,2]	-0.1791	0.1405	-0.4418	0.1137
delta[96,2]	-0.2818	0.1299	-0.5422	-0.0273
delta[97,2]	-0.2732	0.1448	-0.5633	0.0081
delta[98,2]	-0.0226	0.15	-0.3137	0.2774
