### A collection of five network meta-analyses with extractable missing continuous outcome data 

## Dataset used in the article 'Addressing aggregate continuous missing participant outcome data using one-stage pattern-mixture models in a network for interventions'

# nameX: the abbreviation of the intervention in arm X; tX: intervention identifier in arm X; MeanX: the observed mean value in arm X; seX: the observed standard error in arm X; 
# mX: number of missing outcome data in arm X; cX: the number of completers in arm X; nX: the number randomised in arm X.
# NMA: identifier for each network (5 in total; see, the references after Supplementary Table 1 in the Supplementary material). 
# Node_splitting: keep (i.e. 1) those networks with at least one closed loop that is not informed by multi-arm trials exclusively (in order to perform the node-splitting approach).
# Node.id: identifier for each eligible network to apply the node-splitting approach (1 in total). 

## Other abbreviations
# NA, not applicable. 

## Drug names per network
# NMA 1: CHO, chondroitin; GLU, glucosamine; PBO, placebo.
# NMA 2: COMTI+LD, catechol-O-methyl transferase inhibitors plus levodopa; DA+LD, dopamine agonist plus levodopa; MAOBI+LD, monoamine oxidase type B inhibitors plus levodopa; PBO+LD, placebo plus levopoda.
# NMA 3: ARI, aripiprazole; ASE, asenapine; CAR, carbamazepine; DIV, divalproex; GAB, gabapentin; HAL, haloperidol; LAM, lamotrigine; LIT, lithium; OLA, olanzapine; PAL, paliperidone; PBO, placebo; QUE, quetiapine; RIS, risperidone; TOP, topiramate; ZIP, ziprasidone.																																			
# NMA 4: CIL, cilostazol; NAF, naftidrofuryl; PBO, placebo; PEN, pentoxifylline.																																			
# NMA 5: AER, aerobic; COMB, combined training; RES, resistance.



Health_Field	name1	name2	name3		t1	t2	t3	y1	y2	y3	se1	se2	se3	m1	m2	m3	c1	c2	c3	n1	n2	n3	NMA	Node_splitting	Node.id
Osteoarthritis	PBO	GLU	NA		1	2	NA	1.69	1.49	NA	0.08	0.10	NA	5	6	NA	121	120	NA	126	126	NA	1	0	0
Osteoarthritis	PBO	GLU	NA		1	2	NA	3.59	3.37	NA	0.09	0.09	NA	0	0	NA	101	101	NA	101	101	NA	1	0	0
Osteoarthritis	PBO	GLU	NA		1	2	NA	1.48	1.48	NA	0.13	0.09	NA	0	0	NA	104	101	NA	104	101	NA	1	0	0
Osteoarthritis	PBO	GLU	NA		1	2	NA	1.87	1.61	NA	0.10	0.10	NA	3	3	NA	104	106	NA	107	109	NA	1	0	0
Osteoarthritis	PBO	GLU	NA		1	2	NA	1.07	1.07	NA	0.09	0.09	NA	0	0	NA	111	111	NA	111	111	NA	1	0	0
Osteoarthritis	PBO	CHO	NA		1	3	NA	1.85	1.76	NA	0.07	0.08	NA	0	0	NA	154	153	NA	154	153	NA	1	0	0
Osteoarthritis	PBO	CHO	NA		1	3	NA	1.58	1.41	NA	0.06	0.06	NA	0	0	NA	313	309	NA	313	309	NA	1	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.3	-1.2	NA	0.50	0.48	NA	7	3	NA	76	81	NA	83	84	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-2.47	-3.33	NA	1.13	0.93	NA	8	9	NA	12	14	NA	20	23	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.7	-2	NA	0.56	0.55	NA	2	1	NA	16	18	NA	18	19	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.77	-2.08	NA	0.49	0.34	NA	19	34	NA	46	89	NA	65	123	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.2	-1.8	NA	0.35	0.35	NA	0	0	NA	187	189	NA	187	189	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.9	-2.8	NA	0.50	0.20	NA	1	1	NA	100	200	NA	101	201	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.6	-1.2	NA	0.56	0.54	NA	4	7	NA	29	29	NA	33	36	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.12	-1.94	NA	0.23	0.20	NA	3	6	NA	180	174	NA	183	180	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.3	-2.6	NA	0.50	0.51	NA	7	8	NA	76	71	NA	83	79	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.7	-2.4	NA	0.28	0.26	NA	7	7	NA	172	174	NA	179	181	NA	2	0	0
Parkinson	PBO+LD	DA+LD	NA		1	2	NA	-0.3	-2.1	NA	0.32	0.32	NA	1	1	NA	190	201	NA	191	202	NA	2	0	0
