mean	sd	2.5%	97.5%	Rhat	n.eff
theta[1,1]	0.018	0.38	-0.74	0.746	1.002	1500
theta[2,1]	-1.988	0.76	-3.471	-0.495	1.001	5900
theta[3,1]	-0.556	0.421	-1.376	0.27	1.003	890
theta[4,1]	-0.573	0.358	-1.28	0.13	1.002	1300
theta[5,1]	-0.232	0.276	-0.771	0.313	1.001	11000
theta[6,1]	-1.185	0.288	-1.746	-0.606	1.001	7400
theta[7,1]	-0.115	0.423	-0.947	0.705	1.002	2500
theta[8,1]	-0.233	0.193	-0.6	0.153	1.001	18000
theta[9,1]	-0.619	0.383	-1.37	0.131	1.001	15000
theta[10,1]	-0.761	0.229	-1.209	-0.311	1.001	5400
theta[11,1]	-0.415	0.256	-0.913	0.099	1.001	4800
theta[12,1]	-1.056	0.438	-1.941	-0.225	1.004	490
theta[13,1]	-0.118	0.378	-0.866	0.617	1.003	820
theta[14,1]	-0.601	0.378	-1.351	0.135	1.002	1600
theta[15,1]	-0.96	0.302	-1.559	-0.369	1.002	1300
theta[16,1]	-0.989	0.275	-1.524	-0.451	1.001	18000
theta[17,1]	-0.602	0.291	-1.195	-0.039	1.001	6300
theta[18,1]	-0.675	0.189	-1.057	-0.317	1.004	430
theta[19,1]	-0.366	0.279	-0.924	0.177	1.001	4100
theta[20,1]	-0.414	0.14	-0.685	-0.133	1.002	1900
theta[21,1]	-0.324	0.222	-0.741	0.123	1.005	400
theta[22,1]	-0.954	0.197	-1.341	-0.565	1.001	18000
theta[23,1]	0.028	0.318	-0.613	0.641	1.001	3100
theta[24,1]	-0.707	0.291	-1.274	-0.141	1.001	16000
theta[25,1]	-0.066	0.238	-0.533	0.402	1.001	18000
theta[26,1]	-0.454	0.252	-0.941	0.043	1.001	4000
theta[27,1]	-0.098	0.369	-0.828	0.631	1.001	18000
theta[28,1]	-0.362	0.15	-0.653	-0.066	1.003	780
theta[29,1]	-0.919	0.193	-1.293	-0.538	1.001	3700
