mean	sd	2.5%	97.5%	Rhat	n.eff
theta[1,1]	0.016	0.374	-0.71	0.751	1.001	18000
theta[2,1]	-1.742	0.759	-3.253	-0.246	1.001	18000
theta[3,1]	-0.525	0.417	-1.338	0.294	1.001	18000
theta[4,1]	-0.417	0.344	-1.096	0.257	1.001	18000
theta[5,1]	-0.271	0.274	-0.806	0.266	1.001	18000
theta[6,1]	-1.241	0.283	-1.794	-0.673	1.001	18000
theta[7,1]	-0.041	0.422	-0.869	0.786	1.001	18000
theta[8,1]	-0.247	0.192	-0.619	0.138	1.001	16000
theta[9,1]	-0.588	0.386	-1.345	0.169	1.001	14000
theta[10,1]	-0.768	0.227	-1.214	-0.318	1.001	14000
theta[11,1]	-0.443	0.253	-0.938	0.058	1.001	3100
theta[12,1]	-1.094	0.437	-1.968	-0.246	1.001	18000
theta[13,1]	-0.115	0.376	-0.881	0.598	1.001	18000
theta[14,1]	-0.624	0.376	-1.373	0.102	1.002	2000
theta[15,1]	-1.006	0.299	-1.596	-0.421	1.001	14000
theta[16,1]	-0.839	0.267	-1.365	-0.322	1.001	18000
theta[17,1]	-0.56	0.277	-1.105	-0.019	1.001	18000
theta[18,1]	-0.647	0.186	-1.033	-0.305	1.001	11000
theta[19,1]	-0.32	0.279	-0.874	0.218	1.001	18000
theta[20,1]	-0.378	0.136	-0.642	-0.107	1.001	4300
theta[21,1]	-0.285	0.218	-0.7	0.155	1.001	13000
theta[22,1]	-0.925	0.197	-1.319	-0.543	1.001	18000
theta[23,1]	0.081	0.296	-0.496	0.662	1.001	7700
theta[24,1]	-0.729	0.288	-1.286	-0.15	1.001	18000
theta[25,1]	-0.095	0.237	-0.559	0.376	1.001	18000
theta[26,1]	-0.47	0.251	-0.956	0.031	1.001	18000
theta[27,1]	-0.107	0.366	-0.826	0.617	1.001	18000
theta[28,1]	-0.388	0.142	-0.666	-0.107	1.002	1100
theta[29,1]	-0.828	0.186	-1.195	-0.464	1.001	18000
