mean	sd	2.5%	97.5%	Rhat	n.eff
phi[1]	0.036	0.994	-1.922	1.989	1.001	18000
phi[2]	-0.007	0.993	-1.95	1.946	1.001	18000
phi[3]	0.011	0.997	-1.947	1.973	1.001	18000
phi[4]	0.009	0.989	-1.927	1.947	1.001	6100
phi[5]	0.008	0.999	-1.969	1.961	1.001	18000
phi[6]	-0.008	1.007	-1.992	1.951	1.001	18000
phi[7]	-0.072	0.991	-2.022	1.875	1.001	18000
phi[8]	0.05	1.005	-1.9	2.025	1.001	15000
phi[9]	0.027	0.992	-1.899	1.944	1.001	16000
phi[10]	-0.001	1.005	-1.965	1.972	1.001	7900
phi[11]	-0.01	1.001	-1.957	1.955	1.001	18000
phi[12]	0.005	1.006	-1.97	1.938	1.001	3800
phi[13]	-0.096	0.996	-2.07	1.864	1.001	18000
phi[14]	-0.044	0.997	-1.986	1.903	1.001	11000
phi[15]	-0.004	0.997	-1.952	1.944	1.001	18000
phi[16]	0.324	0.756	-1.153	1.803	1.001	18000
phi[17]	-0.011	0.99	-1.956	1.956	1.001	6200
phi[18]	0.024	1.005	-1.939	1.976	1.001	14000
phi[19]	0.01	0.99	-1.919	1.964	1.001	18000
phi[20]	-0.003	0.995	-1.968	1.93	1.001	8200
phi[21]	-0.007	0.99	-1.939	1.943	1.001	18000
phi[22]	-0.006	1.011	-1.992	1.987	1.001	18000
phi[23]	0.013	0.986	-1.899	1.956	1.001	18000
phi[24]	0.524	0.779	-1.019	2.03	1.001	18000
phi[25]	0.827	0.628	-0.444	2.03	1.001	16000
phi[26]	0.945	0.739	-0.553	2.376	1.001	12000
phi[27]	0.627	0.79	-0.93	2.216	1.001	16000
phi[28]	0.009	1.002	-1.98	1.974	1.001	15000
phi[29]	0.145	0.691	-1.199	1.5	1.001	4500
