mean	sd	2.5%	97.5%	Rhat	n.eff
theta[1,1]	-0.05	0.384	-0.806	0.703	1.001	5400
theta[2,1]	-2.137	0.847	-3.79	-0.478	1.001	18000
theta[3,1]	-0.637	0.44	-1.509	0.217	1.001	5600
theta[4,1]	-0.691	0.443	-1.561	0.178	1.002	2100
theta[5,1]	-0.26	0.281	-0.814	0.292	1.001	8100
theta[6,1]	-1.222	0.297	-1.788	-0.613	1.002	1900
theta[7,1]	-0.224	0.458	-1.142	0.683	1.001	5000
theta[8,1]	-0.255	0.199	-0.638	0.141	1.001	5900
theta[9,1]	-0.669	0.398	-1.456	0.108	1.001	7200
theta[10,1]	-0.797	0.234	-1.256	-0.34	1.001	9500
theta[11,1]	-0.434	0.257	-0.938	0.077	1.001	3300
theta[12,1]	-1.141	0.444	-2.021	-0.284	1.001	18000
theta[13,1]	-0.206	0.392	-0.988	0.541	1.001	18000
theta[14,1]	-0.666	0.382	-1.425	0.074	1.001	18000
theta[15,1]	-1.007	0.309	-1.623	-0.397	1.001	3200
theta[16,1]	-0.959	0.289	-1.522	-0.399	1.002	2400
theta[17,1]	-0.876	0.42	-1.688	-0.052	1.001	18000
theta[18,1]	-0.661	0.193	-1.053	-0.303	1.003	920
theta[19,1]	-0.323	0.286	-0.893	0.235	1.001	18000
theta[20,1]	-0.415	0.144	-0.699	-0.131	1.001	18000
theta[21,1]	-0.27	0.223	-0.698	0.177	1.001	18000
theta[22,1]	-0.927	0.196	-1.317	-0.544	1.001	14000
theta[23,1]	-0.319	0.498	-1.281	0.67	1.001	18000
theta[24,1]	-0.812	0.327	-1.443	-0.166	1.001	18000
theta[25,1]	-0.115	0.264	-0.631	0.401	1.001	4100
theta[26,1]	-0.456	0.278	-0.991	0.093	1.001	18000
theta[27,1]	-0.226	0.443	-1.09	0.636	1.001	18000
theta[28,1]	-0.39	0.154	-0.693	-0.087	1.001	15000
theta[29,1]	-0.921	0.192	-1.298	-0.544	1.001	14000
