id	t1	t2	y1	y2	se1	se2	m1	m2	c1	c2								
1	1	2	-0.3	-1.2	0.50	0.48	7	3	76	81					
2	1	2	-2.47	-3.33	1.13	0.93	8	9	12	14					
3	1	2	-0.7	-2	0.56	0.55	2	1	16	18					
4	1	2	-0.77	-2.08	0.49	0.34	19	34	46	89					
5	1	2	-0.2	-1.8	0.35	0.35	0	0	187	189								
6	1	2	-0.9	-2.8	0.50	0.20	1	1	100	200					
7	1	2	-0.6	-1.2	0.56	0.54	4	7	29	29					
8	1	2	-0.12	-1.94	0.23	0.20	3	6	180	174					
9	1	2	-0.3	-2.6	0.50	0.51	7	8	76	71					
10	1	2	-0.7	-2.4	0.28	0.26	7	7	172	174				
11	1	2	-0.3	-2.1	0.32	0.32	1	1	190	201				
12	1	2	-2.22	-1.74	0.63	0.49	0	0	23	23				
13	1	2	-0.75	-1.33	0.60	0.36	0	4	22	42				
14	1	2	-1.22	-1.53	0.51	0.45	1	5	53	90				
15	1	2	-0.9	-2.5	0.50	0.25	1	3	100	201				
16	1	2	-0.9	-2.7	0.31	0.36	1	118	119	113				
17	1	3	-0.9	-1.6	0.40	0.22	30	68	74	129				
18	1	3	-0.9	-1	0.20	0.14	0	0	96	174				
19	1	3	-0.54	-0.86	0.39	0.29	0	0	63	99				
20	1	3	-0.4	-1.2	0.15	0.15	11	9	218	218				
21	1	3	-0.1	-1.3	0.26	0.24	0	0	86	85				
22	1	3	-1	-1.5	0.23	0.26	0	0	99	98				
23	1	3	-0.3	-1.1	0.38	0.24	40	88	57	115							
24	1	3	-0.67	-2.03	0.37	0.34	0	59	58	60				
25	1	3	-0.04	-1.61	0.27	0.28	0	79	42	40				
26	1	3	-0.3	-2	0.30	0.30	0	74	72	69				
27	1	3	-0.11	-1.78	0.43	0.50	5	81	37	31				
28	1	4	-0.4	-1.18	0.15	0.15	11	9	218	222				
29	1	4	-0.91	-1.85	0.20	0.20	0	164	159	149	

# Interventions' names
# 1: placebo plus levodopa; 2: dopamine agonist plus levodopa; 3: catechol-O-methyl transferase inhibitors plus levodopa; 
# D: monoamine oxidase type B inhibitors plus levodopa

# Article					
# Stowe R, Ives N, Clarke CE, et al. Meta-analysis of the comparative efficacy and safety of adjuvant treatment to levodopa
# in later Parkinson’s disease. Mov Disord 2011; 26: 587–598.		
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
